line,text_a,text_b,item_a,prosodel_a,lexel_a,grammel_a,item_b,prosodel_b,lexel_b,grammel_b,notes
432,So þou and his sone,vppon a day seten,sone,trochaic,MED41557,n<pr,seten,trochaic,MED40572,vSpt23,
433,And ȝe woxen vn-sauȝt,and þou slouȝ him þere,vnsauȝt,nontrochaic,MED49640,vpp,þere,trochaic,MED45141,av,
434,So þou come to þe kyng,þat þis kuþþe auȝte,kyng,dative_e,MED24299,n<pr,auȝte,trochaic,MED31051,vpt13,
435,Seidest þou were a kniht,and in his court laftest,kniht,nontrochaic,MED24418,n,laftest,trochaic,MED25339,vpt12,
436,¶ He was an old mon,weried of werre,mon,nontrochaic,MED26710,n,werre,trochaic,MED52312,n<pr,
437,And þou weore a ȝong mon,in þi grete strengþe,mon,nontrochaic,MED26710,n,strengþe,trochaic,MED43299,n<pr,
438,For þou toke his enemy,and brouȝtest him to honde,enemy,nontrochaic,MED13741,nOd,honde,dative_e,MED21102,n<pr,
439,forþi he ȝaf þe þis lond,after his lyue,lond,nontrochaic,MED25988,nOd,lyue,dative_e,MED25454,n<pr,
440,Hit is not allynge to carpe sire kyng,wher-of we comen,kyng,nontrochaic,MED24299,n-voc,comen,trochaic,MED8522,vps21,Lawton emends b-verse
441,He takes non [hede] heere-to,bote askes him of þe sweuene,heere-to,nontrochaic,MED20630,av,sweuene,trochaic,MED44177,n<pr,
442,þat he mette on þe niht,and bad he scholde him telle,niht,dative_e,MED29498,n<pr,telle,trochaic,MED44693,vi,
443,¶ whon þat þou comest aȝeyn,wite þou schalt forsoþe,aȝeyn,nontrochaic,MED3328,av,forsoþe,trochaic,MED17159,av,
444,þou miht haue more redi roume,my rikenyng to here,roume,nontrochaic,MED37971,nOd,here,trochaic,MED20505,vi-m,
445,¶ Ioseph[e] takes his scheld,and schapes a-middes,scheld,nontrochaic,MED39833,nOd,a-middes,trochaic,MED1431,av,
446,A crois of red cloþ,and kennes him aftur,cloþ,nontrochaic,MED8138,n<pr,aftur,trochaic,MED801,av,
447,whon his peril weore most,to crist he scholde preyen,most,nontrochaic,MED28737,aj-sup,preyen,trochaic,MED34400,vi,
448,for þer scholde no mon verreili,þat vigore bi-holden,verreili,nontrochaic,MED50989,av,bi-holden,trochaic,MED4526,vi,
449,þat he nis saaf þat dai,and his sore passed,dai,nontrochaic,MED10482,nOi,passed,trochaic,MED32556,vpp,
450,ÞEnne he buskes touward þe bente,þer þis oþer byden,bente,dative_e,MED4116,n<pr,byden,trochaic,MED4389,vps23,
451,He arayes his riche men,and rihtes hem swiþe,men,nontrochaic,MED26710,nplOd,swiþe,trochaic,MED44277,av,
452,A-non tholomers men,woxen þe biggore,men,nontrochaic,MED26710,npl,biggore,trochaic,MED4441,ajnpl-cpv,
453,sone beeren hem a-bac,and brouhten hem to grounde,a-bac,nontrochaic,MED26,av,grounde,dative_e,MED19601,n<pr,
454,And þei tornede a-ȝein,þat tyme hit was non oþer,aȝein,nontrochaic,MED3328,av,oþer,trochaic,MED31010,pn-def,
455,¶ þei come bi tholomers tentes,vn-housed hem sone,tentes,trochaic,MED44838,npl<pr,sone,trochaic,MED41559,av,
456,Token holliche his stor,and a-wei streiȝten,stor,nontrochaic,MED43097,n<pr,streiȝten,trochaic,MED43228,vpt23,
457,þat þei come to a Castel,faste be-syde,Castel,trochaic,MED6906,n<pr,besyde,trochaic,MED4824,av,
458,¶ þe kyng was gon to pleye him,bi a water brimme,him,nontrochaic,MED20803,P13MXM,brimme,trochaic,MED6047,n<pr,
459,þen com on prikynge,prest him a-ȝeynes,prikynge,nontrochaic,MED34614,vpsp,aȝeynes,trochaic,MED3338,pr,
460,He seide my ladi þe queene,ou a lettre sende,queene,trochaic,MED35546,n,sende,trochaic,MED39404,vpt13,
461,Biddes ou wihtly be boun,to don as heo biddes,boun,nontrochaic,MED5713,aj,biddes,trochaic,MED4381,vps13,
462,And he redes hit forþ,and fond þer-on sone,forþ,nontrochaic,MED17204,av,sone,trochaic,MED41559,av,
463,þat he scholde wiþ-drawe him,al a-wei þenne,him,nontrochaic,MED20803,P13OdXM,þenne,trochaic,MED45123,av,
464,Or elles tholomers folk,wol taken him þere,folk,nontrochaic,MED16580,n,þere,trochaic,MED45141,av,
465,¶ Forþi heo wole þat he wite,and warnes him beo|time,wite,trochaic,MED52987,vsjps13,beotime,trochaic,MED4948,av,
466,¶ Ho has witered hire of þis,and ho has hire kenned,þis,nontrochaic,MED45345,Dispn<pr,kenned,trochaic,MED24161,vpp,
467,He onsweres a-non,sire I not forsoþe,anon,nontrochaic,MED1714,av,forsoþe,trochaic,MED17159,av,
468,Bote þe two cristene men,þat bydes ow at court,men,nontrochaic,MED26710,npl,court,nontrochaic,MED10055,n<pr,
469,in gret counseil han I-beo,I trouwe hit be þer a|boute,beo,nontrochaic,MED4048,vi,þer-aboute,trochaic,MED45142,av,
470,And he telles hem þenne,of þe qwene sonde,þenne,trochaic,MED45038,av,sonde,trochaic,MED41535,n<pr,
471,þorw counseil of Iosaphe,and Ihesu þei þonken,Iosaphe,trochaic,Wikidata_Q6288522,n<pr,þonken,trochaic,MED45027,vps23,
472,¶ ÞE kyng Boskes lettres a-non,to boune mo bernes,anon,nontrochaic,MED1714,av,bernes,trochaic,MED4195,nplOd,
473,bi þat þe niȝt was a-weye,And þe day on þe morwe,aweye,nontrochaic,MED3252,av,morwe,trochaic,MED28660,n<pr,
474,þei hadden of newe folk,fourtene þousend,folk,nontrochaic,MED16580,n<pr,þousend,trochaic,MED45417,qcOd,
475,He seiȝ vnder a wode-egge,siker bi hem-seluen,egge,trochaic,MED13065,n<pr,seluen,trochaic,MED20373,P23<prX,
476,Freschliche I-diht,Fyue hondred men of Armes,I-diht,nontrochaic,MED11613,vpp-aj,Armes,trochaic,MED2266,npl<pr,
477,¶ On vn-castes his helm,and to þe kyng rydes,helm,nontrochaic,MED20330,nOd,rydes,trochaic,MED37470,vps13,
478,And he kneuȝ him wel,he was his wyues broþer,wel,nontrochaic,MED52078,av,broþer,trochaic,MED6165,n,
479,was I-called Seraphe,a ȝong Erl forsoþe,Seraphe,?,NO_AUTH_seraphe,n,forsoþe,trochaic,MED17159,av,
480,and a douȝti þer-wiþ,in alle goode deedes,þer-wiþ,nontrochaic,MED45207,av,deedes,trochaic,MED10751,npl<pr,
481,He mihte neuer gete loue of þe kyng,much ne luyte,kyng,nontrochaic,MED24299,n<pr,luyte,trochaic,MED25778,ajOd,
482,ne good herte of him,and he non harm seruede,him,nontrochaic,MED20803,P13<prM,seruede,trochaic,MED39584,vpt13,
483,He seide my ladi þe Qwene,me a lettre sende,Qwene,trochaic,MED35546,n,sende,trochaic,MED39404,vpt13,
484,Ȝif euere I halp hire at neode,I scholde hit now cuiþe,neode,trochaic,MED29184,n<pr,cuiþe,trochaic,MED24365,vi,
485,And I am come to þi wille,sire wiþ þis knihtes,wille,trochaic,MED52793,n<pr,knihtes,trochaic,MED24418,npl<pr,
486,Forsoþe he seis seraphe,so þou euele ouȝtest,seraphe,?,NO_AUTH_seraphe,n-voc,ouȝtest,trochaic,MED31051,vpt12,
487,Ofte I haue for-set þe,þat me sore forþinkes,þe,nontrochaic,MED45072,P12Od,for-þinkes,trochaic,MED17244,vps13,
488,For euere þe kuynde wol be frend,for ouȝt þat mai bi-falle,frend,nontrochaic,MED17655,n,bi-falle,trochaic,MED4416,vi,
489,Now þei bouwe touward þe bente,þer þis oþere houen,bente,dative_e,MED4116,n<pr,houen,trochaic,MED21401,vps23,
490,He arayes his riche men,and rihtes hem bettre,men,nontrochaic,MED26710,nplOd,bettre,trochaic,MED4288,av-cpv,
491,þat þorw him reowen no res,þat his red wrouȝten,res,nontrochaic,MED37027,nOd,wrouȝten,trochaic,MED52280,vpt23,
492,¶ þenne seis Seraphe,holdes ou stille,Seraphe,?,NO_AUTH_seraphe,n,stille,trochaic,MED42950,av,
493,And þenkes on goode men,þe gref is oure childre,men,nontrochaic,MED26710,npl<pr,childre,trochaic,MED7559,nplOi,
494,what wol bi-falle þer-of,and we ben confoundet,þer-of,nontrochaic,MED45182,av,confoundet,trochaic,MED8948,vpp,
495,Betere hit were douhtilyche,to diȝen on or oune,douhtilyche,trochaic,MED12460,av,oune,trochaic,MED31050,ajn<pr,
496,þen wiþ schendschupe to schone,and vs a-bak drawe,schone,trochaic,MED40037,vi-m,drawe,trochaic,MED12537,vi,
497,þei han geten on hem,þe lengþe of a gleyue,hem,nontrochaic,MED20353,P23<pr,gleyue,trochaic,MED18698,n<pr,
498,¶ whon Seraphe seiȝ þat men,þei miȝte I-seo sone,men,nontrochaic,MED26710,nplOd,sone,trochaic,MED41559,av,
499,his polhache go,and proude doun pallede,go,nontrochaic,MED19078,vi,pallede,trochaic,MED32245,vpt13,
500,In þe þikkeste pres,he preuede his wepne,pres,trochaic,MED34521,n<pr,wepne,trochaic,MED52222,nOd,
501,Breek braynes a-brod,brusede burnes,a-brod,nontrochaic,MED198,av,burnes,trochaic,MED4195,nplOd,
502,Beer bale in his hond,bed hit a-boute,hond,dative_e,MED21102,n<pr,a-boute,trochaic,MED160,av,
503,He hedde an hache vppon heiȝ,wiþ a gret halue,heiȝ,nontrochaic,MED20246,ajn<pr,halue,trochaic,MED20349,n<pr,
504,Huld hit harde wiþ teis,in his two hondes,teis,trochaic,MED44654,npl<pr,hondes,trochaic,MED21102,npl<pr,
505,So he frusschede hem with,and fondede his strengþe,wiþ,nontrochaic,MED52999,pr,strengþe,trochaic,MED43299,nOd,
506,þat luyte miȝte faren him fro,and to fluiȝt founden,fro,nontrochaic,MED17795,pr,founden,trochaic,MED17456,vpt23,
507,¶ þere weore stedes to struien,stoures to medlen,struien,trochaic,MED43374,vi-m,medlen,trochaic,MED27188,vi-m,Lawton emends the a-verse
508,Meeten miȝtful men,mallen þorw scheldes,men,nontrochaic,MED26710,nplOd,scheldes,trochaic,MED39833,npl<pr,
509,¶ Harde hauberkes to-borsten,and þe brest þurleden,to-borsten,trochaic,MED46075,vSpt23,þurleden,trochaic,MED45332,vpt23,
510,Schon schene vppon schaft,schalkene blode,schaft,dative_e,MED39732,n<pr,blode,nontrochaic,MED5268,n,
511,¶ þo þat houen vppon hors,heowen on helmes,hors,dative_e,MED21229,n<pr,helmes,trochaic,MED20330,npl<pr,
512,¶ þo þat hulden hem on fote,hakken þorw scholdres,fote,nontrochaic,MED17401,n<pr,scholdres,trochaic,MED40157,npl<pr,
513,mony swouȝninge lay,þorw schindringe of scharpe,lay,trochaic,MED25443,vSpt23,scharpe,trochaic,MED39797,ajpl<pr,
514,And starf aftur þe deþ,in a schort while,deþ,dative_e,MED11421,n<pr,while,trochaic,MED52555,n<pr,
515,¶ þer weoren hedes vn-huled,helmes vphaunset,vn-huled,trochaic,MED48853,vpp-aj,haunset,trochaic,MED20144,vpp-aj,
516,harde scheldes to-clouen,on quarters fellen,to-clouen,trochaic,MED46087,vSpt23,fellen,trochaic,MED15195,vSpt23,
517,slen hors and mon,holliche at enes,mon,nontrochaic,MED26710,nOd,at enes,trochaic,MED2832,av,
518,ÞE stiward of Eualak,in þe stour lafte,Eualak,nontrochaic,NO_AUTH_euelak,n<pr,lafte,trochaic,MED25339,vpt13,Scase transcription error b-verse coda
519,lai streiht on þe feld,striken to þe eorþe,feld,dative_e,MED15506,n<pr,eorþe,trochaic,MED14387,n<pr,
520,¶ Now Eualac and tholomer,twies han a-semblet,tholomer,nontrochaic,NO_AUTH_tholomer,n,asemblet,trochaic,MED2572,vpp,
521,Seraphe takes of heore men,wel a two hundred,men,nontrochaic,MED26710,npl<pr,hundred,trochaic,MED21487,qcOd,
522,to wende to a Roche,was faste bi-syde,Roche,trochaic,MED37789,n<pr,bi-syde,trochaic,MED4824,av,
523,Hedde þei geten þat holt,for certeyne soþe,holt,nontrochaic,MED21067,nOd,soþe,dative_e,MED41701,n<pr,
524,þei mihten haue do muche harm,er þei han hem mihte,harm,nontrochaic,MED20007,nOd,mihte,trochaic,MED28782,vpt23,
525,¶ þenne com on wiþ a tale,and Tholomer he telles,tale,trochaic,MED44431,n<pr,telles,trochaic,MED44693,vps13,
526,And seis him hou Seraphe,has his men serued,seraphe,?,NO_AUTH_seraphe,n,serued,trochaic,MED39583,vpp,
527,His broþer and a batayle,weore bosket bi-sydes,batayle,trochaic,MED3764,n,bi-sydes,trochaic,MED4824,av,
528,And he sende him word,he scholde þider seche,word,nontrochaic,MED53418,nOd,seche,trochaic,MED39128,vi,
529,And þei come swiftly vppon,and swengeden to-gedere,vppon,nontrochaic,MED50462,av,to-gedere,trochaic,MED46169,av,
530,¶ Seraphe was of hem wel war,and faste hem a-scries,war,nontrochaic,MED51755,aj,a-scries,trochaic,MED2431,vps13,
531,He mette a gome on an hors,with a gret route,hors,dative_e,MED21229,n<pr,route,trochaic,MED38007,n<pr,
532,He hente vp his hachet,and huttes him euene,hachet,nonschwa,MED19757,nOd,euene,trochaic,MED14690,av,
533,Al to-hurles þe helm,and þe hed vnder,helm,nontrochaic,MED20330,nOd,vnder,trochaic,MED48176,av,
534,wiþ þe deþ in his hals,dounward he duppes,hals,dative_e,MED19863,n<pr,duppes,trochaic,MED11726,vps13,
535,and þat deruede hem muche,on þat oþer syde,muche,trochaic,MED28840,av,syde,trochaic,MED40199,n<pr,
536,for þe kyng Tholomer,was treweli his broþer,Tholomer,nontrochaic,NO_AUTH_tholomer,n,broþer,trochaic,MED6165,n,
537,¶ þen Seraphe fondes in,he and fourti knihtes,in,nontrochaic,MED22278,av,knihtes,trochaic,MED24418,npl,
538,¶ þer þe batayle was stiffest,and of more strengþe,stiffest,nontrochaic,MED42913,aj-sup,strengþe,trochaic,MED43299,n<pr,
539,¶ þenne þei fullen for grame,to Seraphe knihtes,grame,trochaic,MED19219,n<pr,knihtes,trochaic,MED24418,npl<pr,
540,þei han laft him a-lyue,but vnneþe seuene,a-lyue,trochaic,MED1140,ajplOd,seuene,trochaic,MED39684,qcOd,
541,Sikerli þe seuene,weore slayen at þe laste,seuene,trochaic,MED39684,qcN,laste,trochaic,MED24726,ajn<pr,
542,Him wondet þer-wiþ,and wemmet so sore,þer-wiþ,nontrochaic,MED45207,av,sore,trochaic,MED41636,av,
543,þat he was in swounynge,and fel to þe grounde,swounynge,nontrochaic,MED44330,vn<pr,grounde,dative_e,MED19601,n<pr,
544,¶ Sone þenne he starte vp,and streiȝte to his hache,vp,nontrochaic,MED50323,av,hache,trochaic,MED19755,n<pr,
545,culles on mennes hedes,þat þei doun lyen,hedes,trochaic,MED20201,npl<pr,lyen,trochaic,MED25443,vps23,
546,Siþen cacches his hors,and a-wei wendes,hors,nontrochaic,MED21229,nOd,wendes,trochaic,MED52201,vps13,
547,Bote euer-more Seraphe,askes and cries,seraphe,?,NO_AUTH_seraphe,n,cries,trochaic,MED10316,vps13,
548,where was Eualac,þe stour was so þikke,Eualac,nontrochaic,NO_AUTH_euelak,n,þikke,trochaic,MED45269,aj,
549,¶ wel a fyue þousend men,of tholomeres halue,men,nontrochaic,MED26710,npl,halue,trochaic,MED20349,n<pr,
550,weore bytwene hem two,þat to him he ne mihte,two,nontrochaic,MED47539,qc<pr,mihte,trochaic,MED28782,vpt13,
551,And he nedde bote fourti men,folewynde his brydel,men,nontrochaic,MED26710,nplOd,brydel,trochaic,MED6011,nOd,
552,And þei were weri of-fouȝten,and feor ouer-charged,fouȝten,trochaic,MED15910,vSpp-aj,ouer-charged,trochaic,MED31561,vpp-aj,
553,Of þe peple afurst,and þe pres after,afurst,nontrochaic,MED744,av,after,trochaic,MED801,av,
554,luyte wonder hit was,so þey wrouȝt haden,was,nontrochaic,MED4048,vpt13,haden,trochaic,MED20173,vpt23,
555,ÞEnne was Eualac taken,and woundet ful sore,taken,trochaic,MED44420,vpp,sore,trochaic,MED41636,av,
556,And þe kyng tholomer,takes him to kepe,tholomer,nontrochaic,NO_AUTH_tholomer,n,kepe,trochaic,MED24173,vi-m,
557,Ferde in-to a forest,faste bi-syde,forest,nonschwa,MED16875,n<pr,bi-syde,trochaic,MED4824,av,
558,forte fallen him feye,er þei a-ȝeyn ferden,feye,trochaic,MED15450,ajOd,ferden,trochaic,MED15284,vpt23,
559,¶ þenne he vn-keuered his scheld,& on þe cros bi|holdes,scheld,nontrochaic,MED39833,nOd,bi-holdes,trochaic,MED4526,vps13,
560,He seiȝ a child strauȝt þer-on,stremynge on blode,þer-on,nontrochaic,MED45183,av,blode,dative_e,MED5268,n<pr,
561,And he bi-souȝte him of grace,as he was godes foorme,grace,trochaic,MED19175,n<pr,foorme,trochaic,MED17042,n,
562,¶ þenne he seiȝ a whit kniht,comynge him a-ȝeines,kniht,nontrochaic,MED24418,nOd,aȝeines,trochaic,MED3338,pr,
563,boþe Armure and hors,al as þe lilye,hors,nontrochaic,MED21229,n,lilye,trochaic,MED25592,n,
564,A red cros on his scheld,seemed him feire,scheld,dative_e,MED39833,n<pr,feire,trochaic,MED15158,aj,
565,Rydes to tholomer,rad wiþ þat ilke,tholomer,nontrochaic,NO_AUTH_tholomer,n<pr,ilke,trochaic,MED21962,pn<pr,
566,Baar him doun of his hors,and harmed him more,hors,dative_e,MED21229,n<pr,more,trochaic,MED28627,av-cpv,
567,strok him stark ded,þat he sturede neuere,ded,nontrochaic,MED10744,ajOd,neuere,trochaic,MED29438,av,
568,¶ Siþen he fonges forþ,a ferly wepne,forþ,nontrochaic,MED17204,av,wepne,trochaic,MED52222,nOd,
569,fel hem feiȝe to his feet,þat him hedde folewed,feet,nontrochaic,MED17401,npl<pr,folewed,trochaic,MED16601,vpp,
570,¶ þenne he horses Eualac,on tholomeres steede,Eualac,nontrochaic,NO_AUTH_euelak,nOd,steede,trochaic,MED42716,n<pr,
571,bouwes touward þe batayle,bigly and swiþe,batayle,trochaic,MED3764,n<pr,swiþe,trochaic,MED44277,av,
572,¶ Euer-more Eualac,askes and cries,Eualac,nontrochaic,NO_AUTH_euelak,n,cries,trochaic,MED10316,vps13,
573,where was Seraphe,and seiȝ him wiþ þat ilke,Seraphe,?,NO_AUTH_seraphe,n,ilke,trochaic,MED21962,pn<pr,
574,wher seue knihtes him han,sikerliche a-sayled,han,nontrochaic,MED20173,vps23,a-sayled,trochaic,MED2550,vpp-ajOd,
575,and titli bi-gonnen,to take him bi þe bridel,bi-gonnen,trochaic,MED4470,vSpt23,bridel,trochaic,MED6011,n<pr,
576,¶ þe white kniht wiþ his swerd,swyngede to hem sone,swerd,dative_e,MED44308,n<pr,sone,trochaic,MED41559,av,
577,whon þe sixe weoren dede,þe seueþe a knyf cauhte,dede,trochaic,MED10744,ajpl,cauhte,trochaic,MED6442,vpt13,
578,And wolde ha striken Seraphe,at a stude derne,seraphe,?,NO_AUTH_seraphe,n,derne,trochaic,MED11243,aj<pr,
579,vppon an hole of his helm,and he was so for-fouȝten,helm,nontrochaic,MED20330,n<pr,for-fouȝten,trochaic,MED16933,vSpp-aj,
580,þat he hedde no space,spedly him-seluen,space,trochaic,MED41916,nOd,seluen,trochaic,MED20373,P13OiXM,
581,forto do him no dispit,þe sporn was his owne,dispit,nontrochaic,MED11361,nOd,owne,trochaic,MED31050,aj,
582,¶ whon Eualac þat sauȝ,he fel to þe grounde,sauȝ,nontrochaic,MED39393,vSpt13,grounde,dative_e,MED19601,n<pr,
583,And Seraphe also,and boþe lye [a] swoune,also,trochaic,MED2398,av,swonne,trochaic,MED44321,vSpp-aj,Lawton emends b-verse
584,¶ þe white kniht lihtes doun,and boþe hem vp-liftes,doun,nontrochaic,MED12469,av,liftes,trochaic,MED25475,vps13,
585,þer nas no lynde so liht,as þise two leodes,liht,nontrochaic,MED25499,aj,leodes,trochaic,MED24956,npl,
586,whon þei blencheden a-boue,and eiþer seiȝ oþer,aboue,trochaic,MED173,av,oþer,trochaic,MED31010,pn-defOd,
587,¶ þenne seis Seraphe,scheuȝ me myn hache,Seraphe,?,NO_AUTH_seraphe,n,hache,trochaic,MED19755,nOd,
588,and I schal note hit to-day,my strengþe is so newed,today,nontrochaic,MED46102,av,newed,trochaic,MED29418,vpp-aj,
589,¶ Haue her-on seis þe white kniht,vppon my bi|halue,kniht,nontrochaic,MED24418,n,bi-halue,trochaic,MED4497,n<pr,
590,God sende þe þis,þat al þe grace lenes,þis,nontrochaic,MED45345,DispnOd,lenes,trochaic,MED25108,vps13,
591,whon he hedde hit in honde,he heold hit þe betere,honde,dative_e,MED21102,n<pr,betere,trochaic,MED4288,av-cpv,
592,And þe heuior bi fer,þen he bi-foren hedde,fer,nontrochaic,MED15622,av,hedde,trochaic,MED20173,vpt13,
593,Nas þer ȝong mon ne old,þat ȝernloker wrouȝte,old,nontrochaic,MED30494,aj,wrouȝte,trochaic,MED52280,vpt13,
594,þen Eualac and Seraphe,wher-so-euer þei souȝten,Seraphe,?,NO_AUTH_seraphe,n,souȝten,trochaic,MED39128,vpt23,
595,Also fresch as þe hauk,freschore þat tyme,hauk,trochaic,MED20132,n,tyme,trochaic,MED45871,nOi,
596,þen þei foundeden þidere,in heore furste come,þidere,trochaic,MED45261,av,come,trochaic,MED8512,n<pr,
597,But euer-more þe white kniht,hem þe place roumede,kniht,nontrochaic,MED24418,n,roumede,trochaic,MED37566,vpt13,
598,Hit falles not for to seiȝe,þe fere of his duntes,seiȝe,trochaic,MED39209,vi-m,duntes,trochaic,MED11719,npl<pr,
599,þer he lousede his hond,he leyde hem on Ronkes,hond,nontrochaic,MED21102,nOd,Bonkes,trochaic,MED3585,npl<pr,
600,and welde hem bi-foren,at his oune wille,bi-foren,trochaic,MED4432,av,wille,trochaic,MED52793,n<pr,
601,¶ þe stiward of Tholomer,stoffes hem to-gedere,Tholomer,nontrochaic,NO_AUTH_tholomer,n<pr,to-gedere,trochaic,MED46169,av,
602,and seis þei ben a-middes þe Reume,and mowe not hom reche,Reume,trochaic,MED36072,n<pr,reche,trochaic,MED36168,vi,
603,ne heo knowe not in the lond,forþi þei moten lenge,lond,dative_e,MED25988,n<pr,lenge,trochaic,MED25116,vi,
604,¶ þenne þe folk of þe Roche,hem in face kepten,Roche,trochaic,MED37789,n<pr,kepten,trochaic,MED24173,vpt23,
605,maden þer a siker werk,and slowen hem vp clene,werk,nontrochaic,MED52278,nOd,clene,trochaic,MED7951,av,
606,Eualac and Seraphe,wonder hem þhouȝte,Seraphe,?,NO_AUTH_seraphe,n,þhouȝte,trochaic,MED45309,vpt13,
607,wher þe white kniht bi-com,þat won hem þe prys,bicom,nontrochaic,MED4371,vSpt13,prys,nontrochaic,MED34677,nOd,
608,þei nuste where he was,ne on whuche syde,was,nontrochaic,MED4048,vpt13,syde,trochaic,MED40199,n<pr,
609,¶ þenne seis Seraphe,þat hom he wolde wende,Seraphe,?,NO_AUTH_seraphe,n,wende,trochaic,MED52201,vi,
610,He is woundet ful sore,to winnen his ese,sore,trochaic,MED41636,av,ese,trochaic,MED14461,nOd,
611,¶ Trewely seis Eualac,þow schalt wiþ me to court,Eualac,nontrochaic,NO_AUTH_euelak,n,court,nontrochaic,MED10055,n<pr,
612,And two wonderful men,þou schalt seo þere,men,nontrochaic,MED26710,nplOd,þere,trochaic,MED45141,av,
613,þei tolde me of vche a poynt,ar I fro home wente,poynt,trochaic,MED33862,n<pr,wente,trochaic,MED52201,vpt11,
614,al-to-gedere of þis werk,hou hit is wonne,werk,nontrochaic,MED52278,n<pr,wonne,trochaic,MED52917,vSpp,
615,Nou we leuen þe kyng,and of Ioseph carpen,kyng,nontrochaic,MED24299,nOd,carpen,trochaic,MED6853,vps21,
616,þat restes him in Sarras,bi-leued wiþ þe qweene,sarras,nonschwa,Wikidata_Q1853612,n<pr,qweene,trochaic,MED35546,n<pr,
617,Hou trouwestou of my lord heo seis,tydes him hele,seis,nontrochaic,MED39209,vps13,hele,trochaic,MED20307,n,
618,Has he folfulsened þe sawes,þat þou bi-fore seidest,sawes,trochaic,MED38573,nplOd,seidest,trochaic,MED39209,vpt12,
619,Ȝe þorw þe miht of god,þe maystrie is wonnen,god,trochaic,MED18945,n<pr,wonnen,trochaic,MED52917,vSpp,
620,And þorw his swete grace,þe sarrest is passed,grace,trochaic,MED19175,n<pr,passed,trochaic,MED32556,vpp,
621,¶ Ȝe I wol bi-hote þe heer,þi lawe for to holden,heer,nontrochaic,MED20434,av,holden,trochaic,MED20995,vi-m,
622,whon þat my lord is comen,þat schal I furst fongen,comen,trochaic,MED8522,vSpp,fongen,trochaic,MED16624,vi,
623,Do me sikernesse þer-to,seis Ioseph þenne,þerto,nontrochaic,MED45196,av,þenne,trochaic,MED45038,av,
624,¶ I wole my trouþe þe bi-take,I wol þe nout trayse,bi-take,trochaic,MED4917,vi,trayse,trochaic,MED46708,vi,
625,Nay þou hast non seis he,for certeyn soþe,he,nontrochaic,MED20191,P13NM,soþe,dative_e,MED41701,n<pr,
626,Ȝe han be fastned wiþ hem,þat ferden wiþ luitel,hem,nontrochaic,MED20353,P23<pr,luitel,trochaic,MED25781,n<pr,
627,Tel me what is þin,and what hit signefyes,þin,nontrochaic,MED45296,P12GN,signefyes,trochaic,MED40276,vps13,
628,And he tolde hire a-non,trewely him-seluen,anon,nontrochaic,MED1714,av,seluen,trochaic,MED20373,P13MXM,
629,And heo rikenede a-ȝeyn,radly and sone,aȝeyn,nontrochaic,MED3328,av,sone,trochaic,MED41559,av,
630,Also redili as he,and wonder he hedde,he,nontrochaic,MED20191,P13NM,hedde,trochaic,MED20173,vpt13,
631,¶ I schal seiȝe þe Ioseph,for certeyn soþe,Ioseph,nonschwa,Wikidata_Q271474,n-voc,soþe,dative_e,MED41701,n<pr,
632,hou I tok cristendom,and in what tyme,cristendom,nontrochaic,MED10373,nOd,tyme,trochaic,MED45871,n<pr,
633,while my moder lyuede,heo hedde an vuel longe,lyuede,trochaic,MED25843,vpt13,longe,trochaic,MED26029,av,
634,And souȝte in-to diuerse studes,and mihte haue non hele,studes,trochaic,MED42715,npl<pr,hele,trochaic,MED20307,nOd,
635,¶ þenne wonede an hermite,faste bi-syde,hermite,trochaic,MED20502,n,bi-syde,trochaic,MED4824,av,
636,Semely vppon a day,þidere we souhten,day,trochaic,MED10482,n<pr,souhten,trochaic,MED39128,vpt21,
637,Heo bad þis hermyte,he scholde hire hele sende,hermyte,trochaic,MED20502,nOd,sende,trochaic,MED39404,vi,
638,¶ I am sinful as þou he seis,I mai þe non graunte,seis,nontrochaic,MED39209,vps13,graunte,trochaic,MED19274,vi,
639,¶ No mak þi preyere to him heo seis,þat þin hope is inne,seis,nontrochaic,MED39209,vps13,inne,trochaic,MED22818,av,
640,¶ woldestou leeue vppon him he seis,I wolde þe bi-hote,seis,nontrochaic,MED39209,vps13,bi-hote,trochaic,MED4533,vi,
641,þat þou scholdest ben hol,ar þou henne eodest,hol,nontrochaic,MED21006,aj,eodest,trochaic,MED53786,vpt12,
642,¶ He made hire to knele a-doun,and a bok bradde,adoun,nontrochaic,MED542,av,bradde,trochaic,MED5881,vpt13,
643,Radde a gospel þer-on,and bad hire vp rise,þer-on,nontrochaic,MED45183,av,rise,trochaic,MED37645,vi,
644,And heo was lihtned of hire euel,in a luytel stounde,euel,trochaic,MED23619,n<pr,stounde,trochaic,MED43140,n<pr,
645,¶ þenne heo seide to me,douȝter ful deore,me,nontrochaic,MED27132,P11<pr,deore,trochaic,MED11195,aj-voc,
646,woltou beo as I am,and on þis mon leue,am,nontrochaic,MED4048,vps11,leue,trochaic,MED25342,vi,
647,And I wepte water warm,and wette my wonges,warm,nontrochaic,MED51791,ajOd,wonges,trochaic,MED53406,nplOd,
648,And seide his bert was so hor,I bad not on him leeue,hor,nontrochaic,MED21180,aj,leeue,trochaic,MED25342,vi,
649,And he seide to me,douȝter he is feirore,me,nontrochaic,MED27132,P11<pr,feirore,trochaic,MED15158,aj-cpv,
